Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","56","Maize","2018","2018","tonnes","1710500","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5622","Import Value","56","Maize","2018","2018","1000 US$","348663","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","27","Rice, paddy","2018","2018","tonnes","50000","F","FAO estimate"
"TP","Crops and livestock products","16","Bangladesh","5622","Import Value","27","Rice, paddy","2018","2018","1000 US$","14873","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5910","Export Quantity","27","Rice, paddy","2018","2018","tonnes","98","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5922","Export Value","27","Rice, paddy","2018","2018","1000 US$","86","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","71","Rye","2018","2018","tonnes","6105","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5622","Import Value","71","Rye","2018","2018","1000 US$","937","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","15","Wheat","2018","2018","tonnes","4839308","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5622","Import Value","15","Wheat","2018","2018","1000 US$","1115434","R","Estimated data using trading partners database"
"TP","Crops and livestock products","16","Bangladesh","5910","Export Quantity","15","Wheat","2018","2018","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","16","Bangladesh","5922","Export Value","15","Wheat","2018","2018","1000 US$","0","*","Unofficial figure"
"TP","Crops and livestock products","14","Barbados","5610","Import Quantity","56","Maize","2018","2018","tonnes","30857","","Official data"
"TP","Crops and livestock products","14","Barbados","5622","Import Value","56","Maize","2018","2018","1000 US$","6448","","Official data"
"TP","Crops and livestock products","14","Barbados","5910","Export Quantity","56","Maize","2018","2018","tonnes","3","","Official data"
"TP","Crops and livestock products","14","Barbados","5922","Export Value","56","Maize","2018","2018","1000 US$","3","","Official data"
"TP","Crops and livestock products","14","Barbados","5610","Import Quantity","27","Rice, paddy","2018","2018","tonnes","2","","Official data"
"TP","Crops and livestock products","14","Barbados","5622","Import Value","27","Rice, paddy","2018","2018","1000 US$","3","","Official data"
